Most popular names for babies in the U.S.

Troy	904	348	950	335	1104	306
Nasir	903	349	753	387	675	428
Conner	898	350	1013	319	1144	300
Adonis	892	351	812	372	801	375
Jared	886	352	844	365	832	367
Rory	881	353	858	362	825	369
Andy	877	354	878	358	1059	317
Jase	874	355	1044	311	1592	239
Lennox	872	356	762	386	695	416
Shane	868	357	913	343	1066	315
Malik	865	358	864	360	841	365
Ari	861	359	795	378	747	395
Reed	853	360	858	362	961	337
Seth	851	361	1060	306	1162	294
Clark	850	362	861	361	865	361
Erik	850	362	898	351	943	342
Lawson	849	363	711	404	711	409
Trevor	849	363	904	345	1093	310
Gage	839	364	1036	314	1292	272
Nico	835	365	751	388	609	462
Malakai	831	366	807	374	727	402
Quinn	828	367	900	349	1047	318
Cade	825	368	695	412	780	387
Johnathan	825	368	934	341	1020	328
Sullivan	816	369	795	378	781	386
Solomon	811	370	874	359	901	351
Cyrus	807	371	731	396	729	401
Fabian	804	372	821	368	867	360
Pedro	804	372	811	373	877	357
Frank	803	373	887	355	957	339
Shawn	802	374	825	367	944	341
Malcolm	799	375	813	371	781	386
Khalil	796	376	732	395	693	418
Nehemiah	795	377	885	356	921	345
Dalton	792	378	890	354	1045	319
Mathias	792	378	660	420	598	467
Jay	790	379	848	364	807	374
Ibrahim	789	380	815	369	816	372
Peyton	787	381	996	324	1241	281
Winston	787	381	781	383	648	441
Kason	785	382	806	375	876	358
Zayne	785	382	848	364	691	419
Noel	784	383	832	366	846	364
Princeton	784	383	786	381	772	390
Matthias	780	384	655	423	609	462
Gregory	778	385	887	355	921	345
Sterling	777	386	711	404	665	431
Dominick	775	387	901	348	1028	325
Elian	770	388	478	501	450	538
Grady	764	389	884	357	938	343
Russell	764	389	785	382	784	385
Finnegan	763	390	762	386	815	373
Ruben	750	391	746	391	798	376
Gianni	745	392	532	476	448	539
Porter	745	392	802	377	745	396
Kendrick	744	393	775	385	827	368
Leland	744	393	814	370	757	394
Pablo	742	394	698	411	790	382
Allen	733	395	789	380	892	354
Hugo	726	396	746	391	721	404
Raiden	725	397	793
